"id","fullpath"
1806492,""
1806971,""
1806994,""
1806738,""
1806911,""
1806290,""
1806976,""
1875467,""
1806892,""
1806153,""
1806522,""
1806694,""
1806451,""
1806245,""
1806505,""
1806990,""
1807012,""
1806719,""
1806578,""
1806383,""
1806963,""
1806298,""
1806577,""
1806468,""
1806666,""
1806896,""
1806589,""
1806987,""
1875482,""
1807082,""
1806299,""
1806454,""
1806217,""
1806228,""
1806558,""
1806850,""
1806448,""
1806541,""
1806643,""
1806432,""
1806459,""
1806495,""
1806291,""
1806302,""
1807074,""
1806615,""
1806609,""
1806931,""
1806889,""
1806572,""
1806944,""
1806250,""
1806263,""
1806515,""
1806224,""
1806713,""
214463,"р-н Альметьевский д Рождественка"
242052,"р-н Пестречинский д Царево"
223414,"р-н Высокогорский д Теплый Ключ"
224969,"р-н Высокогорский дп СДТ Восход-1"
217979,"р-н Альметьевский с Сулеево"
217333,"р-н Альметьевский с Тайсуганово"
213212,"р-н Актанышский д Тыннамасово"
212775,"р-н Агрызский д Ожбуй"
227463,"р-н Зеленодольский с Кугеево"
236829,"р-н Нурлатский д Осиновка"
206861,"г Набережные Челны п Сидоровка"
215280,"р-н Альметьевский с Новое Суркино тер. Автодорога"
213112,"р-н Агрызский кв-л 140203"
210937,"г Казань ул Подорожная"
222703,"р-н Балтасинский кв-л 090503"
210347,"г Казань тер ГСК Луч"
241616,"р-н Пестречинский кв-л 060202"
217231,"р-н Арский д Якты-Кен кв-л 080501"
248355,"р-н Тюлячинский кв-л 080104"
211599,"р-н Азнакаевский с Ильбяково тер Места захоронения"
228475,"р-н Заинский с Бегишево кв-л 010404"
217321,"р-н Альметьевский г Альметьевск кв-л 11"
239711,"р-н Пестречинский кв-л 052002"
249043,"р-н Черемшанский с Старое Кадеево тер. Дачное нефтяное месторождение"
219931,"р-н Атнинский с Большие Берези кв-л 040302"
218328,"р-н Альметьевский с Калейкино тер Промышленные объекты"
220641,"р-н Бугульминский с Андреевка тер Ферма"
233995,"р-н Мамадышский тер. Паевые земли"
215699,"р-н Альметьевский с Клементейкино кв-л 140001"
215075,"р-н Альметьевский г Альметьевск тер. гаражный массив Северянка"
211110,"г Набережные Челны тер ПГСК ГАЗИМ"
243567,"р-н Спасский кв-л 151001"
216699,"р-н Альметьевский с Абдрахманово кв-л 090103"
236652,"р-н Новошешминский д Екатериновка тер. Промышленная зона"
234473,"р-н Мамадышский с Рагозино тер База охотохозяйства"
1862941,"р-н Нижнекамский г Нижнекамск тер ГСК ВАЗ"
239942,"р-н Нижнекамский с Елантово тер Луговые земли"
205658,"г Набережные Челны тер ПГК Урожай"
220310,"р-н Арский кв-л 150301"
1806955,""
211341,"г Казань гск ГСК Сокол-87 (гараж 1-41)"
215519,"р-н Алексеевский с Красный Баран тер Паевые земли"
217218,"р-н Альметьевский с Новое Каширово кв-л 050126"
228547,"р-н Заинский с Гулькино кв-л 220104"
216751,"р-н Альметьевский кв-л 010004"
207722,"г Казань тер. СНТ Подлужный"
215383,"р-н Альметьевский с Верхний Акташ кв-л 180106"
210182,"г Набережные Челны тер ГК ДРУЖБА"
219924,"р-н Арский кв-л 240301"
216905,"р-н Альметьевский г Альметьевск кв-л 16"
225746,"р-н Высокогорский тер. Фермерское хозяйство Хамдеев"
249018,"р-н Черемшанский с Шешминская Крепость тер. Заречное нефтяное месторождение"
215436,"р-н Альметьевский с Верхний Акташ кв-л 180108"
219708,"р-н Атнинский кв-л 010116"
218195,"р-н Арский кв-л 020702"
234609,"р-н Мамадышский кв-л 360501"
215399,"р-н Альметьевский с Ерсубайкино кв-л 150004"
215605,"р-н Альметьевский г Альметьевск мкр. Урсала"
222956,"р-н Бугульминский г Бугульма тер район Военкомата"
247479,"р-н Тукаевский кв-л 072301"
242912,"р-н Сабинский кв-л 040601"
238854,"р-н Пестречинский тер. СНТ Городок ул Бавлинская"
236996,"р-н Нижнекамский с Туба ул Юности"
226871,"р-н Елабужский тер. СПК Нефтехимик тер Массив Спецстрой"
215354,"р-н Альметьевский с Русский Акташ ул Чернышевского"
207150,"г Казань ул Газовая (Салмачи)"
217221,"р-н Альметьевский с Нижнее Абдулово ул Луговая"
218427,"р-н Альметьевский с Абдрахманово ул Зая"
209825,"р-н Агрызский д Каменный Ключ ул Шкетана"
227753,"р-н Зеленодольский д Ореховка ул Кооперативная"
212815,"р-н Азнакаевский пгт Актюбинский пер Некрасова 3-й"
245681,"р-н Тюлячинский д Урумширма ул Луговая"
245471,"р-н Тюлячинский с Балыклы ул Октябрьская"
52024684,"г Казань ул. 2-я Артековская"
241856,"р-н Пестречинский с Кибячи ул Гагарина"
250078,"р-н Черемшанский с Нижняя Каменка ул Заречная"
228182,"р-н Зеленодольский г Зеленодольск ул Катина"
206303,"г Набережные Челны б-р Томази Кереселидзе"
230847,"р-н Лаишевский д Матюшино тер Центромонтажспецавтоматика"
232364,"р-н Камско-Устьинский д Лабышка ул Тукая"
239985,"р-н Рыбно-Слободский д Шиланка ул Набережная"
210328,"г Казань тер ГСК Мустанг"
226218,"р-н Верхнеуслонский с Набережные Моркваши ул Солнечная"
246792,"р-н Тетюшский с Чинчурино ул Дряничкина"
245302,"р-н Тукаевский с Шильнебаш ул Весенняя"
225351,"р-н Верхнеуслонский с Куралово ул Малая Красная"
242189,"р-н Пестречинский д Куюки ул Надежды"
242622,"р-н Сабинский с Сабабаш ул Молодежная"
233683,"р-н Мамадышский д Верхняя Кузгунча тер Чулпан АСХК"
216173,"р-н Альметьевский г Альметьевск ул Чапаева"
205593,"г Казань ул 2-я Аральская"
238943,"р-н Нижнекамский тер СТ Здоровье тер 3-й массив"
214966,"р-н Алькеевский с Татарское Бурнаево ул Верхняя"
249999,"р-н Черемшанский п Светлогорский ул Лесная"
231163,"р-н Зеленодольский г Зеленодольск ул Жуковского"
231686,"р-н Зеленодольский г Зеленодольск ул Мичурина"
213500,"р-н Алькеевский с Базарные Матаки ул Сайфуллина"
238311,"р-н Пестречинский д Кудашево ул Зеленая"
230698,"р-н Камско-Устьинский пгт Камское Устье ул 9 Мая"
215478,"р-н Альметьевский д Владимировка ул Центральная"
250863,"р-н Черемшанский с Черемшан ул Мира"
242383,"р-н Сабинский с Старая Икшурма ул Родниковая"
208972,"г Казань ул 4-я Тракторная"
228992,"р-н Зеленодольский с Карашам ул Новая"
1862082,"р-н Тукаевский тер. СНТ Иволга ул Родниковая"
229824,"р-н Заинский с Шикмамаево ул Лесная"
218778,"р-н Арский с Новый Кинер ул Садовая"
211802,"г Казань тер ГСК Радар (Хади Атласи)"
215986,"р-н Альметьевский с Добромыш ул Добромышская"
229850,"р-н Заинский г Заинск ул СПТУ-98"
222661,"р-н Высокогорский с Татарская Айша ул Школьная"
1866651,"р-н Лаишевский с Сапуголи ул Степана Козлова"
242176,"р-н Сабинский д Аккуль-Бигеней"
216651,"р-н Альметьевский г Альметьевск ул Каюма Насыри"
216472,"р-н Альметьевский с Абдрахманово ул Инеш"
212657,"р-н Азнакаевский с Сапеево ул Х.Такташа"
1806969,""
242379,"р-н Тетюшский с Урюм ул Чапаева"
225743,"р-н Высокогорский п ж/д станции Высокая Гора ул Школьная"
214933,"р-н Актанышский д Ирмяшево ул Центральная"
220230,"р-н Балтасинский пгт Балтаси ул Кул-Гали"
221162,"р-н Балтасинский пгт Балтаси ул Ф.Амирхана"
221549,"р-н Балтасинский д Биктяшево ул Ю.Гагарина"
244092,"р-н Тукаевский п совхоза ""Татарстан"" ул Новая"
249441,"р-н Черемшанский с Ивашкино ул Центральная"
232308,"р-н Лаишевский г Лаишево ул Молодежная"
242889,"р-н Тетюшский д Малая Турма ул Джалиля"
212995,"р-н Алексеевский с Мокрые Курнали ул Новостройка 2-я"
217945,"р-н Арский д Мирзям ул Н.Сафина"
246095,"р-н Тукаевский д Кулушево ул Алмалы"
240965,"р-н Рыбно-Слободский с Корноухово ул Рабочий поселок"
214962,"р-н Алькеевский с Старые Челны ул Центральная"
222269,"р-н Бугульминский п Подлесный ул Веселая"
219793,"р-н Балтасинский с Карелино ул Дружбы"
225247,"р-н Высокогорский с Каймары ул Наследие"
243915,"р-н Тукаевский тер. СНТ Черемушки ул 34-я"
224975,"р-н Буинский с Нижний Наратбаш ул Центральная"
239620,"р-н Нижнекамский с Шингальчи ул Школьный бульвар"
216983,"р-н Альметьевский с Кичучатово ул Полевая"
247955,"р-н Тукаевский тер. СНТ Прикамье ул Дружная"
246858,"р-н Тетюшский с Удельное Нечасово ул Советская"
1806681,""
247848,"р-н Ютазинский с Байряка ул 1 Мая"
238829,"р-н Пестречинский д Куюки ул Ясная поляна"
237993,"р-н Нижнекамский д Выгороженный Ключ ул Семейная"
218712,"р-н Арский д Кутук ул Школьная"
212835,"р-н Аксубаевский пгт Аксубаево ул Раиса Беляева"
226606,"р-н Елабужский тер. СПК Нефтехимик тер Массив 4"
227626,"р-н Зеленодольский г Зеленодольск ул Отрадная"
52047291,"р-н Лаишевский д Кзыл-Иль ул. Уныш"
244363,"р-н Спасский п фермы N2 совхоза ""КИМ"" ул им С.Рубцова"
215498,"р-н Альметьевский с Кичуй ул Вишневая"
244531,"р-н Тукаевский тер. ПОСТ Зеленые горки ул 12-я"
234576,"р-н Менделеевский с Монашево ул Школьная"
215143,"р-н Альметьевский с Новая Елань ул Нижняя"
218221,"р-н Альметьевский г Альметьевск ул Степная"
245309,"р-н Тукаевский тер. СНТ Дубравушка ул 11-я"
214105,"р-н Альметьевский с Кама-Исмагилово ул Пекин"
234296,"р-н Кукморский д Камышлы ул Габдуллы Тукая"
246541,"р-н Тюлячинский с Тюлячи ул Кирова"
239607,"р-н Новошешминский с Слобода Петропавловская ул Ленина"
212361,"р-н Аксубаевский с Старое Ибрайкино ул Сабиль"
218436,"р-н Альметьевский г Альметьевск мкр. Урсала ул Горная"
231680,"р-н Камско-Устьинский пгт Камское Устье ул Молодежная"
229671,"р-н Кайбицкий с Бурундуки ул М.Гафури"
225870,"р-н Высокогорский д Макаровка ул Нагорная"
210967,"г Казань ул Юбилейная"
1880908,"р-н Кукморский г. Кукмор ул Рима Зарипова"
52091511,"р-н Чистопольский тер. Продуктоперекачивающая"
220782,"р-н Буинский с Верхние Лащи ул Луговая"
215028,"р-н Альметьевский с Бута ул Лягушовка"
227866,"р-н Зеленодольский г Зеленодольск тер. СТ Гари-Дальние ул Березка"
224387,"р-н Елабужский г Елабуга ул Туганлык"
227445,"р-н Елабужский г Елабуга ул Юлдаш урамы"
245877,"р-н Тукаевский д Азьмушкино ул Раздольная"
242072,"р-н Пестречинский с Конь ул Звездная"
233880,"р-н Мамадышский г Мамадыш пер Цветочный"
245353,"р-н Тукаевский с Нижний Суык-Су ул Набережная"
249738,"р-н Тюлячинский д Алга ул Полевая"
249892,"р-н Чистопольский с Татарская Багана ул Лесная"
247970,"р-н Чистопольский д Данауровка ул Молодежная"
246841,"р-н Тетюшский г Тетюши ул Кирова"
242009,"р-н Пестречинский с Кощаково ул 50 лет Победы"
